rank,beer_name,brewery,style,alcohol_pct,n_ratings,avg_rating,general_style,substyle
135,Twice the Daily Serving: Raspberry,Trillium Brewing Company,Sour - Fruited Kettle Sour,7.0,55,4.64,Sour,Fruited Kettle Sour
136,Parabajava,Firestone Walker Brewing Co.,Stout - Russian Imperial,14.0,925,4.53,Stout,Russian Imperial
137,Emperor Julius,Tree House Brewing Company,IPA - New England,8.8,133,4.57,IPA,New England
138,Canuckley,Transient Artisan Ales,Stout - American Imperial,14.5,163,4.56,Stout,American Imperial
139,Moment Of Clarity,Tree House Brewing Company,Stout - Sweet / Milk,7.7,540,4.53,Stout,Sweet / Milk
140,Plead The 5th - Bourbon Barrel-Aged,Dark Horse Brewing Company,Stout - Russian Imperial,11.0,3360,4.52,Stout,Russian Imperial
141,Label Us Notorious - Calvados BA Big Poppa,J. Wakefield Brewing,Stout - American Imperial,17.0,77,4.6,Stout,American Imperial
142,Speedway Stout - Bourbon Barrel-Aged,AleSmith Brewing Company,Stout - American Imperial,12.0,2310,4.52,Stout,American Imperial
143,Double Nelson,Hill Farmstead Brewery,IPA - New England,8.0,450,4.53,IPA,New England
144,Cutting Tiles - Mosaic,Trillium Brewing Company,IPA - New England,8.5,1404,4.52,IPA,New England
145,In Perpetuity,Tree House Brewing Company,IPA - New England,6.7,1097,4.52,IPA,New England
146,Wide Awake It's Morning,Funky Buddha Brewery,Porter - Imperial,10.0,1000,4.52,Porter,Imperial
147,Blåbær Lambik,Brasserie Cantillon,Lambic - Fruit,5.0,875,4.52,Lambic,Fruit
148,Affogato - Bourbon Barrel-Aged,Trillium Brewing Company,Stout - American Imperial,14.9,169,4.55,Stout,American Imperial
149,Framboos,Brouwerij 3 Fonteinen,Lambic - Fruit,5.0,852,4.52,Lambic,Fruit
150,JJJuiceee Machine,Tree House Brewing Company,IPA - New England,8.6,133,4.56,IPA,New England
151,Smooth,Side Project Brewing,Wild Ale,6.0,223,4.54,Wild Ale,
152,Great,Alpine Beer Company,Barleywine - American,14.0,765,4.52,Barleywine,American
153,Double Dry Hopped Double Mosaic Dream,Other Half Brewing Company,IPA - New England,8.5,706,4.52,IPA,New England
154,Appervation,Jackie O's Pub & Brewery,Stout - American Imperial,15.0,329,4.53,Stout,American Imperial
155,Breakfast Stout,Founders Brewing Company,Stout - Oatmeal,8.3,17834,4.51,Stout,Oatmeal
156,§ucaba,Firestone Walker Brewing Co.,Barleywine - English,12.5,5501,4.51,Barleywine,English
157,Pirate Bomb!,Prairie Artisan Ales,Stout - American Imperial,15.0,2461,4.51,Stout,American Imperial
158,Double Dry Hopped Double Mosaic Daydream,Other Half Brewing Company,IPA - New England,8.5,491,4.52,IPA,New England
159,Dorothy (Wine Barrel Aged),Hill Farmstead Brewery,Farmhouse Ale - Saison,7.0,271,4.53,Farmhouse Ale,Saison
160,Bourbon County Brand Reserve Blanton’s Stout,Goose Island Beer Co.,Stout - American Imperial,15.4,68,4.6,Stout,American Imperial
161,Grey Monday,The Bruery,Stout - American Imperial,19.9,1921,4.51,Stout,American Imperial
162,Lou Pepe - Gueuze,Brasserie Cantillon,Lambic - Gueuze,5.0,1267,4.51,Lambic,Gueuze
163,Saison Bernice,Sante Adairius Rustic Ales,Farmhouse Ale - Saison,6.5,1060,4.51,Farmhouse Ale,Saison
164,Society & Solitude #6,Hill Farmstead Brewery,IPA - New England,8.1,1033,4.51,IPA,New England
165,Upper Case,Trillium Brewing Company,IPA - New England,9.0,1024,4.51,IPA,New England
166,Leaner,Side Project Brewing,Farmhouse Ale - Saison,8.0,110,4.56,Farmhouse Ale,Saison
167,Montmorency Vs Balaton,Jester King Brewery,Wild Ale,6.1,935,4.51,Wild Ale,
168,Bourbon Barrel Aged Dark Star: Coffee Edition,Fremont Brewing Company,Stout - Oatmeal,13.6,906,4.51,Stout,Oatmeal
169,Genealogy Of Morals - Bourbon Barrel-Aged,Hill Farmstead Brewery,Stout - American Imperial,10.7,697,4.51,Stout,American Imperial
170,Double Stack,Great Notion Brewing,Stout - American Imperial,11.0,677,4.51,Stout,American Imperial
171,Ground State,Bottle Logic Brewing,Stout - American Imperial,13.4,669,4.51,Stout,American Imperial
172,Imperial German Chocolate Cupcake Stout,Angry Chair Brewing,Stout - American Imperial,11.5,318,4.52,Stout,American Imperial
173,Barrel-Aged Sump Coffee Stout,Perennial Artisan Ales,Stout - American Imperial,10.5,641,4.51,Stout,American Imperial
174,Double Dry Hopped Mylar Bags,Other Half Brewing Company,IPA - New England,8.5,636,4.51,IPA,New England
175,Cutting Tiles - Galaxy,Trillium Brewing Company,IPA - New England,8.5,608,4.51,IPA,New England
176,Trappistes Rochefort 10,Brasserie de Rochefort,Quadrupel (Quad),11.3,9877,4.5,Quadrupel (Quad),
177,Foggier Window,Monkish Brewing Co.,IPA - New England,8.1,295,4.52,IPA,New England
178,Pseudo Sue,Toppling Goliath Brewing Company,Pale Ale - American,5.8,5709,4.5,Pale Ale,American
179,Abrasive Ale,Surly Brewing Company,IPA - Imperial,9.2,4815,4.5,IPA,Imperial
180,Impermanence,Tree House Brewing Company,Stout - Sweet / Milk,9.2,539,4.51,Stout,Sweet / Milk
181,BDCS,Ozark Beer Co.,Stout - American Imperial,10.2,538,4.51,Stout,American Imperial
182,Art,Hill Farmstead Brewery,Farmhouse Ale - Saison,6.5,527,4.51,Farmhouse Ale,Saison
